NAME 	ADDRESS	PHONE	menu	DESCRIPTION
AND CAFE	5420 E Burnside	(503) 233-4550	http://andcafepdx.com/	FULL VEGAN OPT
ANDINA 	1314 NW GLISAN	(503) 228-9535	http://www.andinarestaurant.com/food/vegan-vegetarian/	VEGAN OPT LISTED WITH (V)
		(503) 946-1898		
ATLAS PIZZA	3570 SE DIVISION	503) 232-3004	http://atlaspizzapdx.com/	VEGAN OPT LISTED/ VEGAN TOPPINGS
				
BACK TO EDEN	2217 NE ALBERTA	(503) 477-5022	http://www.backtoedenbakery.com/	COMPLETELY VEGAN MENU
BAMBUZA VIETNAMESE PHO	3682 SW BOND	(503) 206-6330	http://static1.squarespace.com/static/55d8b2dfe4b0782c9df00070/t/5632c266e4b0634f877b8044/1446167142601/Fall+2015+Togo+Menu+-+10.14.2015.pdf	
BANG BANG	4727 NE FREMONT	(503) 287-3846	http://www.bangbangpdx.com/menu/	VEGAN OPTION LISTED WITH (V)
				
BATTER GRIDDLE & DRINKERY	4425 NE FREMONT	(971) 271-8784	http://www.batterpdx.com/	VEGANIZABLE WAFFLES/PANCAKES
				
BELLA FACCIA	2934 NE ALBERTA	(503) 282-0600	http://www.bellapizzapdx.com/food-menu/	VEGAN OPT PIZZA/COOKIES/KNOTS
				
BETA LUKAS	2504 SE 50TH ST	503) 477-8778	http://bete-lukas.com/Dinner_Menu.html	VEGETARIAN MENU NEEDS TO BE VEGANIZED
BEULAHLAND	118 NE 28TH	(503) 235-2794	http://beulahlandpdx.com/screen	VEGAN BLACK BEAN CAKES/VEGAN HASH/ VEGGIE WRAP
				
BIPARISAN CAFE	7901 SE STARK	(503) 253-1051	http://bipartisancafe.com/menu/	VEGAN PIE/BAGEL/SANDWICH OPT LISTED
BLACK WATER BAR	835 NE BROADWAY	(503) 281-0439	BLACKWATER1.JPG, BLACKWATER2.JPG	VEGAN PUB FOOD RESTAURANT/BAR
BLACKBIRD PIZZA	1935 SE HAWTHORNE	(503) 236-5223	http://blackbirdpizzapdx.com/	VEGAN OPT LISTED
BLISS BAKE SHOP	4708 NW LOST SPRINGS	(503) 645-6000		VEGAN CUPCAKES:VANILLA, CARROT,LEMON
BLOSSOMING LOTUS	1713 NE 15TH	(503) 228-0048	http://www.blpdx.com/menus	ALL VEGAN RESTAURANT
BLU OLIVE BISTRO 	240 NW LOST SPRINGS	(503) 372-6099	http://www.bluolivebistro.com/	
BLUE STAR DONUTS	1237 SW WASHINGTON	(503) 265-8410	vegan menu unavailable	
BOB'S RED MILL RESTAURANT	13521 SE PHEASANT	(503) 607-6455	http://www.bobsredmill.com/media/wysiwyg/menus/Breakfast-Lunch-Menus201510.pdf	
BOISE FRY CO	1902 W BURNSIDE	(503) 946-1849	http://www.boisefrycompany.com/menu/	
BOKE BOWL	1028 SE WATER	(503) 719-5698	http://bokebowl.com/lunch-menu/	
BOLLYWOOD THEATER	2039 NE ALBERTA	(503) 477-6699	http://www.bollywoodtheaterpdx.com/menu-2/	
BOMBAY CHAAT HOUSE	804 SW 12TH	(503) 231-0740	http://bombaychaathouse.org/vegan.php#main-body	
BOWERY BAGELS	310 NW BROADWAY	(503) 227-6674	http://bowerybagels.com/pages/menu	
BRASS TACK SANDWICHES	3535 N VANCOUVER	(503) 309-4412	http://www.brasstackssandwiches.com/menu/	
				
BRIDGEPORT ALE HOUSE	3632 SE HAWTHORNE	(503) 241-7179	http://www.bridgeportbrew.com/eat/brew-pub/menus-specials	vegan opt listed with (V)
BRIDGES CAFE	2716 NE MARTIN LUTHER KING	(503) 288-4169		
BRODER	2508 SE CLINTON	(503) 736-3333	http://broderpdx.com/breakfast.php	Yelp review said that vegan options can be requested. 
BULA KAVA HOUSE	3115 SE DIVISION	(503) 477-7823	https://kavabar.bulakavahouse.com/?_ga=1.18460604.404504670.1471474089#menus	MANY VEGAN OPTIONS
BUNK	2017 NE ALBERTA	(503) 328-2865	http://www.bunksandwiches.com/bunkalberta/	VEGAN OPTIONS MARKED WITH (V)
BYE AND BYE	1011 NE ALBERTA	(503) 281-0537	http://thebyeandbye.com	ALL VEGAN RESTAURANT/BAR
BYWAYS CAFE	1212 NE GLISAN	(503) 221-0011		
C BAR	2880 SE GLADSTONE	(503) 230-8808	http://cbarportland.com/food/	POUTINE CAN BE MADE VEGAN UPON REQUEST
CAFE DESTINO	1339 NE FREMONT	(503) 284-9455		
CAFE YUMM	301 SW MORRISON	(503) 222-9866	http://www.cafeyumm.com/content/our-menu	ENTIRE MENU CAN BE MADE VEGAN
CAFE YUMM	1806 SW 6TH AVE	(503) 226-9866	http://www.cafeyumm.com/content/our-menu	ENTIRE MENU CAN BE MADE VEGAN
CANTEEN	2816 SE STARK	(503) 922-1858	http://canteenpdx.com	VEGAN RESTAURANT
CANTON PEARL	18140 NE HALSEY	(503) 665-7423		
CARIOCA BOWLS	827 NE ALBERTA	(971) 339-2969	http://www.cariocabowls.com/menu/	MANY VEGAN OPTIONS. DOESN'T SPECIFICALLY SAY.
CASA DIABLO 	2839 NW ST HELENS	(503) 222-6600	http://www.casadiablo.com/wp-content/uploads/2015/04/Casa-Diablo-Menu.pdf	VEGAN STRIP CLUB
				
CENTURY THE BAR	93 SE SANDY	n/a	http://centurybarpdx.com/menu	BAR. ABOUT HALF OF THE MENU IS VEGAN
CHA CHA CHA	4727 NE FREMONT ST	(503) 595-9131	http://www.chachachapdx.com/main-menu.html	
CHA CHA CHA	3135 SW Moody Ave	(503) 224-0100	http://www.chachachapdx.com/main-menu.html	
